TotalNumberOfVotes,Score,Time,WordsInSummary,WordsInText,HelpfulnessScore
0,5,1999,4,74,0
0,5,1999,2,29,0
2,5,1999,12,78,100
2,5,1999,5,36,50
3,4,2000,1,223,66.6666666667
28,5,2000,3,38,92.8571428571
2,5,2000,3,225,50
3,5,2000,7,33,0
8,5,2000,4,57,100
5,5,2000,7,306,100
8,5,2000,4,91,87.5
0,5,2000,5,65,0
1,5,2000,1,27,0
18,5,2000,3,65,100
0,5,2000,1,43,0
10,5,2000,6,82,100
7,5,2000,2,33,100
2,5,2000,1,25,100
23,1,2000,7,68,82.6086956522
2,5,2000,9,110,100
1,5,2000,1,36,0
3,5,2001,11,103,66.6666666667
27,5,2001,9,116,92.5925925926
12,5,2001,3,36,91.6666666667
58,3,2001,3,37,13.7931034483
12,2,2001,7,41,8.33333333333
0,4,2001,3,91,0
2,5,2001,4,109,100
23,1,2001,4,138,91.3043478261
23,5,2002,3,125,91.3043478261
79,2,2002,4,214,77.2151898734
4,5,2002,2,140,100
2,4,2002,7,137,100
7,5,2002,5,97,71.4285714286
35,5,2002,4,136,100
21,5,2002,2,353,90.4761904762
11,5,2002,4,71,100
43,5,2002,5,120,95.3488372093
0,5,2002,4,31,0
0,5,2002,6,77,0
0,5,2002,3,121,0
67,5,2002,10,242,98.5074626866
0,5,2002,6,110,0
0,5,2002,2,50,0
2,5,2002,6,124,100
0,4,2002,5,147,0
11,5,2002,5,33,100
25,5,2002,5,137,92
2,5,2002,3,153,100
1,4,2002,1,98,0
14,5,2002,7,265,100
45,5,2002,1,24,95.5555555556
4,5,2002,9,206,25
2,5,2002,8,76,50
38,5,2002,6,99,97.3684210526
6,5,2002,4,518,33.3333333333
4,5,2002,4,118,50
2,4,2002,7,47,50
61,5,2002,5,154,98.3606557377
5,5,2002,8,83,100
3,5,2002,7,92,33.3333333333
4,5,2002,7,81,75
13,5,2003,8,169,84.6153846154
12,5,2003,3,146,100
0,5,2003,1,27,0
18,5,2003,3,101,94.4444444444
2,4,2003,5,66,100
59,2,2003,7,514,77.9661016949
21,5,2003,4,98,4.7619047619
26,3,2003,4,99,84.6153846154
64,5,2003,2,184,100
0,4,2003,3,71,0
6,5,2003,10,42,0
6,3,2003,6,197,100
12,5,2003,4,175,100
8,1,2003,4,31,62.5
4,5,2003,3,35,75
2,4,2003,2,36,100
4,5,2003,4,38,50
0,5,2003,6,222,0
8,1,2003,2,115,87.5
16,5,2003,7,42,87.5
1,5,2003,3,10,0
21,4,2003,5,114,76.1904761905
34,4,2003,8,104,85.2941176471
0,5,2003,8,39,0
13,5,2003,6,110,100
2,5,2003,2,35,50
2,3,2003,7,178,50
2,5,2003,3,132,50
8,5,2003,3,279,75
4,5,2003,7,51,100
15,4,2003,11,89,86.6666666667
4,5,2003,3,108,75
23,5,2003,7,72,100
0,3,2003,3,48,0
1,4,2003,4,45,0
5,5,2003,1,39,80
11,5,2003,6,207,100
1,5,2003,4,32,100
0,5,2003,2,41,0
1,5,2003,3,19,100
8,4,2003,2,200,100
4,5,2003,6,34,100
6,5,2003,3,19,66.6666666667
3,5,2003,6,28,100
3,5,2003,9,37,100
5,5,2003,5,106,100
0,4,2003,3,75,0
0,5,2003,5,57,0
4,3,2003,4,98,75
1,5,2003,5,110,100
0,5,2003,4,31,0
34,1,2003,2,45,5.88235294118
0,5,2003,2,36,0
14,3,2003,6,79,78.5714285714
4,5,2003,7,107,100
2,5,2003,3,145,100
25,1,2003,2,94,92
3,5,2003,3,126,100
5,5,2003,1,57,80
8,5,2003,5,35,100
68,5,2003,4,193,98.5294117647
1,5,2003,3,28,100
0,2,2003,4,34,0
0,4,2003,3,101,0
48,5,2003,5,81,93.75
3,5,2003,3,83,66.6666666667
2,5,2003,3,57,100
7,5,2003,4,49,100
26,5,2003,2,219,100
5,5,2003,6,108,100
8,5,2003,5,13,87.5
8,1,2003,4,81,62.5
7,5,2003,3,36,100
0,4,2003,9,117,0
5,4,2003,6,73,100
0,5,2003,1,57,0
0,5,2003,5,34,0
0,4,2003,2,71,0
3,5,2003,3,139,66.6666666667
7,4,2003,3,66,71.4285714286
9,5,2003,2,25,88.8888888889
9,4,2003,4,75,100
